Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,648556,25000.9,0.8146424,0.8150637,0.5659898,0.5835384,0.580235,88.2,25.2,20,9.621398,800,103.1779,10.67661,3.786766846,-15.3612288,-31.50252,-13.2112912,4.020394238,,,,
Mon Jan 30 2023,654698,25000.08,0.8121466,0.8126302,0.5640378,0.5881841,0.5795991,91.6,25.3,20,9.621398,800,103.1779,10.68435,3.820929932,-15.75126,-35.477838,-16.796578,4.057718706,,,,
Mon Jan 30 2023,660839,25002.86,0.8112928,0.8112744,0.5617543,0.5814921,0.5797519,86.2,25.3,20,9.621398,800,103.1779,10.38922,3.917327637,-16.4188134,-39.00312,-19.6543066,4.163036859,,,,
Mon Jan 30 2023,666971,25004.32,0.8100496,0.8093312,0.564108,0.5856165,0.5798802,85.1,25.3,20,9.621398,800,103.1779,10.55612,3.964099365,-16.7113368,-39.978198,-20.3368612,4.214136748,,,,
Mon Jan 30 2023,673104,25000.58,0.8102461,0.810133,0.5587061,0.5859431,0.5747943,84.5,25.3,20,9.621398,800,103.1779,10.37402,3.986006348,-16.913853,-42.078366,-22.234513,4.238070958,,,,
Mon Jan 30 2023,679244,24999.62,0.8100313,0.8101711,0.5600077,0.5842089,0.5751788,84.6,25.3,20,9.621398,800,103.1779,10.53944,4.028500977,-17.25138,-42.75342,-22.57204,4.284497953,,,,
Mon Jan 30 2023,685384,25001.16,0.8105794,0.8101524,0.5591214,0.5836798,0.5766512,78.5,25.4,20,9.621398,800,103.1779,10.54618,4.042253418,-17.0413632,-43.278462,-23.3070988,4.299523018,,,,
Mon Jan 30 2023,691525,25004.14,0.8067135,0.8075956,0.5570676,0.5842464,0.5753426,83.1,25.4,20,9.621398,800,103.1779,10.57988,4.079732178,-17.3938914,-46.653732,-26.3298406,4.340469986,,,,
Mon Jan 30 2023,697665,25002.06,0.8075835,0.8070312,0.5605931,0.5805318,0.5755275,79.9,25.4,20,9.621398,800,103.1779,10.19245,4.134350098,-17.6864148,-46.953756,-26.3373412,4.400142137,,,,
Mon Jan 30 2023,703805,25000.47,0.8057594,0.8057881,0.5598569,0.5825611,0.5718486,76.5,25.4,20,9.621398,800,103.1779,10.31776,4.116799805,-18.1814544,-47.403792,-26.2923376,4.380967775,,,,
Mon Jan 30 2023,709933,25001.15,0.8068148,0.8072689,0.5575377,0.5800947,0.5781208,78.1,25.4,20,9.621398,800,103.1779,10.40234,4.10332666,-18.5114808,-50.62905,-29.1875692,4.366247853,,,,
